========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 2 bound to :50002. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 1905 | NetHead: 1905 | Confirmed: 1900 | Missing: 5 | StateHash: 0x14AF141C
[HEARTBEAT] SimTick: 1944 | NetHead: 1943 | Confirmed: 1940 | Missing: 4 | StateHash: 0xCB9CA54A
[HEARTBEAT] SimTick: 1984 | NetHead: 1984 | Confirmed: 1979 | Missing: 5 | StateHash: 0x992F2C1E
[HEARTBEAT] SimTick: 2020 | NetHead: 2020 | Confirmed: 2016 | Missing: 4 | StateHash: 0x5DF50244
[HEARTBEAT] SimTick: 2055 | NetHead: 2054 | Confirmed: 2050 | Missing: 5 | StateHash: 0x1AD32571
[HEARTBEAT] SimTick: 2096 | NetHead: 2095 | Confirmed: 2093 | Missing: 3 | StateHash: 0xF7AA6C31
[HEARTBEAT] SimTick: 2135 | NetHead: 2135 | Confirmed: 2133 | Missing: 2 | StateHash: 0xCAEA7EB4
[HEARTBEAT] SimTick: 2170 | NetHead: 2169 | Confirmed: 2166 | Missing: 4 | StateHash: 0xBB625F6D
[HEARTBEAT] SimTick: 2206 | NetHead: 2205 | Confirmed: 2203 | Missing: 3 | StateHash: 0x5FB967B1
[HEARTBEAT] SimTick: 2244 | NetHead: 2243 | Confirmed: 2239 | Missing: 5 | StateHash: 0x36F794F4
[HEARTBEAT] SimTick: 2279 | NetHead: 2278 | Confirmed: 2277 | Missing: 2 | StateHash: 0x36F794F4
[HEARTBEAT] SimTick: 2322 | NetHead: 2321 | Confirmed: 2318 | Missing: 4 | StateHash: 0x9D7E18FC
[HEARTBEAT] SimTick: 2363 | NetHead: 2362 | Confirmed: 2361 | Missing: 2 | StateHash: 0xC8B2A644
[HEARTBEAT] SimTick: 2398 | NetHead: 2397 | Confirmed: 2394 | Missing: 4 | StateHash: 0xC8B2A644
[HEARTBEAT] SimTick: 2436 | NetHead: 2436 | Confirmed: 2433 | Missing: 3 | StateHash: 0xCD40ABB4
