========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 0 bound to :50000. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 21 | NetHead: 20 | Confirmed: 17 | Missing: 4 frames
[HEARTBEAT] SimTick: 81 | NetHead: 80 | Confirmed: 77 | Missing: 4 frames
[HEARTBEAT] SimTick: 141 | NetHead: 140 | Confirmed: 137 | Missing: 4 frames
[HEARTBEAT] SimTick: 201 | NetHead: 200 | Confirmed: 197 | Missing: 4 frames
[HEARTBEAT] SimTick: 260 | NetHead: 259 | Confirmed: 257 | Missing: 3 frames
[HEARTBEAT] SimTick: 320 | NetHead: 319 | Confirmed: 317 | Missing: 3 frames
[HEARTBEAT] SimTick: 379 | NetHead: 378 | Confirmed: 377 | Missing: 2 frames
[HEARTBEAT] SimTick: 439 | NetHead: 438 | Confirmed: 437 | Missing: 2 frames
[HEARTBEAT] SimTick: 499 | NetHead: 498 | Confirmed: 497 | Missing: 2 frames
[HEARTBEAT] SimTick: 559 | NetHead: 558 | Confirmed: 557 | Missing: 2 frames
[HEARTBEAT] SimTick: 619 | NetHead: 618 | Confirmed: 617 | Missing: 2 frames
[HEARTBEAT] SimTick: 676 | NetHead: 675 | Confirmed: 674 | Missing: 2 frames
[HEARTBEAT] SimTick: 733 | NetHead: 732 | Confirmed: 731 | Missing: 2 frames
[HEARTBEAT] SimTick: 793 | NetHead: 792 | Confirmed: 791 | Missing: 2 frames
[HEARTBEAT] SimTick: 853 | NetHead: 852 | Confirmed: 851 | Missing: 2 frames
[HEARTBEAT] SimTick: 913 | NetHead: 912 | Confirmed: 911 | Missing: 2 frames
[HEARTBEAT] SimTick: 974 | NetHead: 973 | Confirmed: 972 | Missing: 2 frames
[HEARTBEAT] SimTick: 1034 | NetHead: 1033 | Confirmed: 1032 | Missing: 2 frames
[HEARTBEAT] SimTick: 1094 | NetHead: 1093 | Confirmed: 1092 | Missing: 2 frames
[HEARTBEAT] SimTick: 1154 | NetHead: 1153 | Confirmed: 1152 | Missing: 2 frames
[HEARTBEAT] SimTick: 1214 | NetHead: 1213 | Confirmed: 1212 | Missing: 2 frames
[HEARTBEAT] SimTick: 1274 | NetHead: 1273 | Confirmed: 1272 | Missing: 2 frames
[HEARTBEAT] SimTick: 1334 | NetHead: 1333 | Confirmed: 1332 | Missing: 2 frames
[HEARTBEAT] SimTick: 1394 | NetHead: 1393 | Confirmed: 1392 | Missing: 2 frames
[HEARTBEAT] SimTick: 1454 | NetHead: 1453 | Confirmed: 1452 | Missing: 2 frames
[HEARTBEAT] SimTick: 1514 | NetHead: 1513 | Confirmed: 1512 | Missing: 2 frames
[HEARTBEAT] SimTick: 1574 | NetHead: 1573 | Confirmed: 1572 | Missing: 2 frames
[HEARTBEAT] SimTick: 1634 | NetHead: 1633 | Confirmed: 1632 | Missing: 2 frames
[HEARTBEAT] SimTick: 1694 | NetHead: 1693 | Confirmed: 1692 | Missing: 2 frames
[HEARTBEAT] SimTick: 1754 | NetHead: 1753 | Confirmed: 1752 | Missing: 2 frames
