========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 4 bound to :50004. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 29 | NetHead: 28 | Confirmed: 27 | Missing: 2 | StateHash: 0x9635CF92
[HEARTBEAT] SimTick: 70 | NetHead: 70 | Confirmed: 68 | Missing: 2 | StateHash: 0xBDE0D49E
[HEARTBEAT] SimTick: 112 | NetHead: 111 | Confirmed: 107 | Missing: 5 | StateHash: 0xB2D13734
[HEARTBEAT] SimTick: 147 | NetHead: 147 | Confirmed: 142 | Missing: 5 | StateHash: 0x603613C2
[HEARTBEAT] SimTick: 184 | NetHead: 183 | Confirmed: 180 | Missing: 4 | StateHash: 0x1442872E
[HEARTBEAT] SimTick: 220 | NetHead: 219 | Confirmed: 215 | Missing: 5 | StateHash: 0x147DB574
[HEARTBEAT] SimTick: 250 | NetHead: 249 | Confirmed: 248 | Missing: 2 | StateHash: 0xE3F23C5D
[HEARTBEAT] SimTick: 287 | NetHead: 287 | Confirmed: 286 | Missing: 1 | StateHash: 0x6A00C209
[HEARTBEAT] SimTick: 328 | NetHead: 327 | Confirmed: 326 | Missing: 2 | StateHash: 0x5C60F51C
[HEARTBEAT] SimTick: 364 | NetHead: 364 | Confirmed: 359 | Missing: 5 | StateHash: 0xECB6FE95
[HEARTBEAT] SimTick: 404 | NetHead: 403 | Confirmed: 402 | Missing: 2 | StateHash: 0xF3F08CD9
[HEARTBEAT] SimTick: 444 | NetHead: 443 | Confirmed: 440 | Missing: 4 | StateHash: 0x3E95A8EC
[HEARTBEAT] SimTick: 481 | NetHead: 480 | Confirmed: 479 | Missing: 2 | StateHash: 0x3E95A8EC
[HEARTBEAT] SimTick: 523 | NetHead: 523 | Confirmed: 518 | Missing: 5 | StateHash: 0x5304E3E1
[HEARTBEAT] SimTick: 565 | NetHead: 564 | Confirmed: 562 | Missing: 3 | StateHash: 0xBA9C977C
[HEARTBEAT] SimTick: 600 | NetHead: 599 | Confirmed: 597 | Missing: 3 | StateHash: 0xBA9C977C
[HEARTBEAT] SimTick: 636 | NetHead: 635 | Confirmed: 632 | Missing: 4 | StateHash: 0x4738F984
[HEARTBEAT] SimTick: 668 | NetHead: 668 | Confirmed: 663 | Missing: 5 | StateHash: 0xF3B39F0E
[HEARTBEAT] SimTick: 706 | NetHead: 706 | Confirmed: 701 | Missing: 5 | StateHash: 0xF3A28384
[HEARTBEAT] SimTick: 740 | NetHead: 739 | Confirmed: 737 | Missing: 3 | StateHash: 0xB6942139
[HEARTBEAT] SimTick: 779 | NetHead: 778 | Confirmed: 774 | Missing: 5 | StateHash: 0x591D2D69
[HEARTBEAT] SimTick: 816 | NetHead: 815 | Confirmed: 812 | Missing: 4 | StateHash: 0x5F616E34
[HEARTBEAT] SimTick: 849 | NetHead: 849 | Confirmed: 847 | Missing: 2 | StateHash: 0x836B1A5D
[HEARTBEAT] SimTick: 886 | NetHead: 885 | Confirmed: 881 | Missing: 5 | StateHash: 0xE9ECF589
[HEARTBEAT] SimTick: 927 | NetHead: 926 | Confirmed: 922 | Missing: 5 | StateHash: 0xA7143604
[HEARTBEAT] SimTick: 965 | NetHead: 964 | Confirmed: 961 | Missing: 4 | StateHash: 0x1E803AFD
[HEARTBEAT] SimTick: 1007 | NetHead: 1006 | Confirmed: 1002 | Missing: 5 | StateHash: 0x0F93B241
[HEARTBEAT] SimTick: 1049 | NetHead: 1048 | Confirmed: 1045 | Missing: 4 | StateHash: 0x9C3AD34C
[HEARTBEAT] SimTick: 1091 | NetHead: 1090 | Confirmed: 1086 | Missing: 5 | StateHash: 0xA8145785
[HEARTBEAT] SimTick: 1130 | NetHead: 1130 | Confirmed: 1128 | Missing: 2 | StateHash: 0xD543AA59
[HEARTBEAT] SimTick: 1168 | NetHead: 1168 | Confirmed: 1163 | Missing: 5 | StateHash: 0xEC8C50DC
[HEARTBEAT] SimTick: 1210 | NetHead: 1209 | Confirmed: 1205 | Missing: 5 | StateHash: 0xC185B855
[HEARTBEAT] SimTick: 1251 | NetHead: 1250 | Confirmed: 1246 | Missing: 5 | StateHash: 0xD1366649
[HEARTBEAT] SimTick: 1293 | NetHead: 1292 | Confirmed: 1288 | Missing: 5 | StateHash: 0xB8E1C05C
[HEARTBEAT] SimTick: 1331 | NetHead: 1330 | Confirmed: 1327 | Missing: 4 | StateHash: 0x97635AD9
[HEARTBEAT] SimTick: 1364 | NetHead: 1363 | Confirmed: 1360 | Missing: 4 | StateHash: 0x1D682C11
[HEARTBEAT] SimTick: 1398 | NetHead: 1397 | Confirmed: 1393 | Missing: 5 | StateHash: 0x19C558B4
[HEARTBEAT] SimTick: 1437 | NetHead: 1436 | Confirmed: 1434 | Missing: 3 | StateHash: 0x19C558B4
[HEARTBEAT] SimTick: 1474 | NetHead: 1473 | Confirmed: 1472 | Missing: 2 | StateHash: 0x0C43FE9C
[HEARTBEAT] SimTick: 1510 | NetHead: 1510 | Confirmed: 1508 | Missing: 2 | StateHash: 0x668234B6
[HEARTBEAT] SimTick: 1551 | NetHead: 1550 | Confirmed: 1546 | Missing: 5 | StateHash: 0xA1FEDCC4
[HEARTBEAT] SimTick: 1590 | NetHead: 1589 | Confirmed: 1587 | Missing: 3 | StateHash: 0x7C9DF0BA
[HEARTBEAT] SimTick: 1630 | NetHead: 1630 | Confirmed: 1625 | Missing: 5 | StateHash: 0xD6A457BE
[HEARTBEAT] SimTick: 1669 | NetHead: 1668 | Confirmed: 1666 | Missing: 3 | StateHash: 0x1F344D74
[HEARTBEAT] SimTick: 1712 | NetHead: 1712 | Confirmed: 1710 | Missing: 2 | StateHash: 0xEF4A366C
[HEARTBEAT] SimTick: 1755 | NetHead: 1754 | Confirmed: 1753 | Missing: 2 | StateHash: 0x616674F4
[HEARTBEAT] SimTick: 1795 | NetHead: 1794 | Confirmed: 1792 | Missing: 3 | StateHash: 0x616674F4
[HEARTBEAT] SimTick: 1833 | NetHead: 1833 | Confirmed: 1828 | Missing: 5 | StateHash: 0xAC3B5EEC
[HEARTBEAT] SimTick: 1870 | NetHead: 1870 | Confirmed: 1865 | Missing: 5 | StateHash: 0x73B38DBE
[HEARTBEAT] SimTick: 1915 | NetHead: 1914 | Confirmed: 1912 | Missing: 3 | StateHash: 0x14AF141C
[HEARTBEAT] SimTick: 1953 | NetHead: 1952 | Confirmed: 1949 | Missing: 4 | StateHash: 0x67D7419C
[HEARTBEAT] SimTick: 1993 | NetHead: 1992 | Confirmed: 1989 | Missing: 4 | StateHash: 0x5DF50244
[HEARTBEAT] SimTick: 2026 | NetHead: 2026 | Confirmed: 2021 | Missing: 5 | StateHash: 0x5DF50244
[HEARTBEAT] SimTick: 2063 | NetHead: 2063 | Confirmed: 2058 | Missing: 5 | StateHash: 0xD2CDDA12
[HEARTBEAT] SimTick: 2103 | NetHead: 2102 | Confirmed: 2101 | Missing: 2 | StateHash: 0xC24E642E
[HEARTBEAT] SimTick: 2144 | NetHead: 2143 | Confirmed: 2139 | Missing: 5 | StateHash: 0xCAEA7EB4
[HEARTBEAT] SimTick: 2175 | NetHead: 2174 | Confirmed: 2171 | Missing: 4 | StateHash: 0xC21DEC51
[HEARTBEAT] SimTick: 2213 | NetHead: 2213 | Confirmed: 2209 | Missing: 4 | StateHash: 0xBA5B9BD9
[HEARTBEAT] SimTick: 2250 | NetHead: 2249 | Confirmed: 2247 | Missing: 3 | StateHash: 0x36F794F4
[HEARTBEAT] SimTick: 2287 | NetHead: 2287 | Confirmed: 2284 | Missing: 3 | StateHash: 0x336F3B1D
[HEARTBEAT] SimTick: 2328 | NetHead: 2327 | Confirmed: 2325 | Missing: 3 | StateHash: 0x2E3F0581
[HEARTBEAT] SimTick: 2371 | NetHead: 2371 | Confirmed: 2367 | Missing: 4 | StateHash: 0xC8B2A644
[HEARTBEAT] SimTick: 2403 | NetHead: 2402 | Confirmed: 2400 | Missing: 3 | StateHash: 0xD94624DD
[HEARTBEAT] SimTick: 2444 | NetHead: 2443 | Confirmed: 2441 | Missing: 3 | StateHash: 0x3AFB0679
[HEARTBEAT] SimTick: 2482 | NetHead: 2482 | Confirmed: 2477 | Missing: 5 | StateHash: 0xB420E00C
[HEARTBEAT] SimTick: 2520 | NetHead: 2519 | Confirmed: 2517 | Missing: 3 | StateHash: 0xB420E00C
[HEARTBEAT] SimTick: 2561 | NetHead: 2560 | Confirmed: 2557 | Missing: 4 | StateHash: 0x5C565DF1
[HEARTBEAT] SimTick: 2602 | NetHead: 2602 | Confirmed: 2599 | Missing: 3 | StateHash: 0xA3E71604
[HEARTBEAT] SimTick: 2641 | NetHead: 2641 | Confirmed: 2638 | Missing: 3 | StateHash: 0xAAF72E1D
[HEARTBEAT] SimTick: 2678 | NetHead: 2678 | Confirmed: 2674 | Missing: 4 | StateHash: 0xDAD63104
[HEARTBEAT] SimTick: 2714 | NetHead: 2713 | Confirmed: 2710 | Missing: 4 | StateHash: 0xC400F144
[HEARTBEAT] SimTick: 2751 | NetHead: 2750 | Confirmed: 2749 | Missing: 2 | StateHash: 0xC400F144
[HEARTBEAT] SimTick: 2793 | NetHead: 2792 | Confirmed: 2791 | Missing: 2 | StateHash: 0xCF747084
[HEARTBEAT] SimTick: 2835 | NetHead: 2835 | Confirmed: 2830 | Missing: 5 | StateHash: 0x8A388474
[HEARTBEAT] SimTick: 2873 | NetHead: 2873 | Confirmed: 2868 | Missing: 5 | StateHash: 0x8A388474
[HEARTBEAT] SimTick: 2913 | NetHead: 2912 | Confirmed: 2909 | Missing: 4 | StateHash: 0xF821C024
[HEARTBEAT] SimTick: 2949 | NetHead: 2948 | Confirmed: 2944 | Missing: 5 | StateHash: 0x2DAC66E6
[HEARTBEAT] SimTick: 2987 | NetHead: 2986 | Confirmed: 2984 | Missing: 3 | StateHash: 0x56BD6354
[HEARTBEAT] SimTick: 3025 | NetHead: 3024 | Confirmed: 3022 | Missing: 3 | StateHash: 0xB7AE2DBA
[HEARTBEAT] SimTick: 3065 | NetHead: 3064 | Confirmed: 3063 | Missing: 2 | StateHash: 0xA47DA88E
[HEARTBEAT] SimTick: 3107 | NetHead: 3107 | Confirmed: 3102 | Missing: 5 | StateHash: 0x932B549C
[HEARTBEAT] SimTick: 3142 | NetHead: 3142 | Confirmed: 3140 | Missing: 2 | StateHash: 0x677C6E4A
[HEARTBEAT] SimTick: 3184 | NetHead: 3183 | Confirmed: 3180 | Missing: 4 | StateHash: 0x72E32F7E
[HEARTBEAT] SimTick: 3220 | NetHead: 3219 | Confirmed: 3215 | Missing: 5 | StateHash: 0x8CE6DC74
[HEARTBEAT] SimTick: 3257 | NetHead: 3256 | Confirmed: 3255 | Missing: 2 | StateHash: 0xDAF3A4B1
[HEARTBEAT] SimTick: 3298 | NetHead: 3297 | Confirmed: 3293 | Missing: 5 | StateHash: 0x9A9B6461
[HEARTBEAT] SimTick: 3335 | NetHead: 3335 | Confirmed: 3330 | Missing: 5 | StateHash: 0xFDFB373C
[HEARTBEAT] SimTick: 3378 | NetHead: 3377 | Confirmed: 3374 | Missing: 4 | StateHash: 0x7704E1A1
[HEARTBEAT] SimTick: 3412 | NetHead: 3412 | Confirmed: 3410 | Missing: 2 | StateHash: 0x293CE989
[HEARTBEAT] SimTick: 3449 | NetHead: 3449 | Confirmed: 3444 | Missing: 5 | StateHash: 0x771082D4
[HEARTBEAT] SimTick: 3485 | NetHead: 3484 | Confirmed: 3480 | Missing: 5 | StateHash: 0x79A2814D
[HEARTBEAT] SimTick: 3521 | NetHead: 3521 | Confirmed: 3516 | Missing: 5 | StateHash: 0x652D3EE1
[HEARTBEAT] SimTick: 3562 | NetHead: 3561 | Confirmed: 3559 | Missing: 3 | StateHash: 0xC286EFA4
[HEARTBEAT] SimTick: 3599 | NetHead: 3598 | Confirmed: 3597 | Missing: 2 | StateHash: 0xC286EFA4
[HEARTBEAT] SimTick: 3637 | NetHead: 3637 | Confirmed: 3632 | Missing: 5 | StateHash: 0xBD3148EC
[HEARTBEAT] SimTick: 3679 | NetHead: 3678 | Confirmed: 3675 | Missing: 4 | StateHash: 0x6CBD9544
[HEARTBEAT] SimTick: 3720 | NetHead: 3720 | Confirmed: 3715 | Missing: 5 | StateHash: 0x6CBD9544
[HEARTBEAT] SimTick: 3766 | NetHead: 3766 | Confirmed: 3763 | Missing: 3 | StateHash: 0x3EA8AD41
[HEARTBEAT] SimTick: 3805 | NetHead: 3805 | Confirmed: 3800 | Missing: 5 | StateHash: 0x5C791A24
[HEARTBEAT] SimTick: 3842 | NetHead: 3841 | Confirmed: 3837 | Missing: 5 | StateHash: 0x5C791A24
[HEARTBEAT] SimTick: 3879 | NetHead: 3878 | Confirmed: 3875 | Missing: 4 | StateHash: 0x065283B4
[HEARTBEAT] SimTick: 3918 | NetHead: 3917 | Confirmed: 3914 | Missing: 4 | StateHash: 0xE7DEA974
[HEARTBEAT] SimTick: 3958 | NetHead: 3957 | Confirmed: 3953 | Missing: 5 | StateHash: 0xE7DEA974
[HEARTBEAT] SimTick: 3997 | NetHead: 3997 | Confirmed: 3992 | Missing: 5 | StateHash: 0x436E85D4
[HEARTBEAT] SimTick: 4036 | NetHead: 4036 | Confirmed: 4031 | Missing: 5 | StateHash: 0x4F90D2D4
